version	run_id	leads	steps	peak_reward	pct_ceiling	conv_rate	budget_util	mrr	status	notes
v25	n681l2qdddtsym5e88uppq0b	2	200	1.451	91%	95.5%	90%	90%	COMPLETED	GRPO saturated at 2 leads
v26	nuiukm339bhri6y202g3hndv	3	200	1.354	85%	94%	88%	83%	COMPLETED	Plateaued ~step 130, heavy errors 140-190
v27	tgojv1pxq7t8tqk87y1aae0u	3	111	1.400	88%	94%	85.5%	86.1%	STOPPED	Plateaued ~1.38 clean avg
v28	k87pq6aqem5nqc2hucgkjy5n	4	370	1.528	95.5%	94.5%	94.5%	89.8%	STOPPED	Mastered 4 leads. Curriculum transfer confirmed.
v29	gvhkrdz2odflom5py4h58je2	5	580	1.580	98%	~97%	~95%	~93%	STOPPED	Mastered 5 leads. Saturated at 1.57.
v30a	g6lbi3qlnh3sv3d1tcpw4mtz	6	0	-	-	-	-	-	FAILED	Env server timeout (cluster issue)
v30b	vdbsi8xocjn58kwzchm69ict	6	~40	1.475	92%	-	-	-	STOPPED	Retry of v30. Fast climb, stopped to scale.
v31	qrholap10uc2aktxjtva4kr7+zejyompwevhcpkal7ulhre48	8	155	1.374	86%	87%	-	-	STOPPED	Peak at 1.374, 51% error rate. Clean avg 1.36.
v32	pfth19p99h6yx3x8kjjorhvm	12	8	1.535	96%	98%	-	-	STOPPED	Instant mastery — but no quoting (degenerate).
v33	tg5h5av4oqvnjygtu771dum7	20	34	1.481	93%	96%	-	-	STOPPED	DEGENERATE: skipped CRM and quoting entirely.
v34c	zs5bpb9yt9fi1suaqivm2pfr	15	~970	1.387	87%	-	-	-	STOPPED	Quote requirement env. Peak 1.387 step 918, then collapse.
v35	t2odcytmh5975lxg62fzqroq	12	1095	1.002	63%	68%	-	-	COMPLETED	Peak step 816, collapsed step 829. 0 conv for last 268 steps. GRPO degenerate floor lock.
v36	geh9smdj2wxkzpjn2pro3dtk	2	0	-0.0005	0%	-	-	-	STOPPED	Wallet exhausted ($-8.30) after step 0. Step took 1810s (30 min) on 35B. 14/128 rollouts filtered. Cost: $73.50.
v37	r90m00fyzu2o38wksjs24co4	2	35	0.0001	0%	0%	-	-	STOPPED	(MISDIAGNOSED) Looked like 0.8B do-nothing collapse but actual cause was OPENAI_API_KEY 401 → buyer never invoked → 100% deterministic REJECT. No model could have learned. Lesson #24 in program.md.
v38	z2pxmvmgdujq6upcgv63uta4	2	8	-0.003	0%	0%	-	-	STOPPED	(SAME ROOT CAUSE) 4B did the workflow (3.8 propose/ep, 80% lead contact) but every offer rejected because buyer LLM auth was still broken. metric_buyer_llm_call_count=0 across all steps — smoking gun.
v39	(pending)	2	(drafted)	-	-	-	-	-	DRAFTED	Return to Qwen3.5-0.8B (Eli-strategy) after fixing OPENAI_API_KEY in secrets.env. Real test of v36 reward shape on the smallest base.
